customer_ID,type_of_transaction,payment_amount
111000351841,774.0,52500.0
111550002284,34.0,502500.0
111550011523,18.0,102500.0
111550023619,24.25,22500.0
111550055573,8.0,458473.0
111550055936,16.0,102500.0
111550055948,30.5,51448.5
111550079934,11.0,973441.0
111550150781,10.0,171207.0
111550154791,5.0,52500.0
111550183278,15.0,22500.0
111550192446,36.0,102500.0
111550207206,33.0,202500.0
111550216186,13.5,22500.0
111550234695,7.0,202500.0
111550270687,20.0,102500.0
111550271633,30.5,109432.5
111550273418,14.0,202500.0
111550273432,3.0,102500.0
111550276723,25.0,52500.0
